en,fr,it,de,es,ko,kana
The opposing [VAR PKNICK(0000)] floats in the air with its Air Balloon!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi flotte grâce à son Ballon !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] avversario fluttua in aria grazie a un Palloncino!",[VAR PKNICK(0000)] (Gegner) gerät durch den Luftballon in die Schwebe!,¡El [VAR PKNICK(0000)] enemigo está flotando con un Globo Helio!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 풍선 때문에 떠 있다!,{相手|あいて}の　[VAR PKNICK(0000)]は ふうせんで　{浮|う}いている！
[VAR 0100(000A)]’s [VAR PKNICK(0000)] floats in the air with its Air Balloon!,"[VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] flotte grâce à son Ballon !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] fluttua in aria grazie a un Palloncino!",[VAR PKNICK(0000)] von [VAR 0100(000A)] gerät durch den Luftballon in die Schwebe!,¡El [VAR PKNICK(0000)] de [VAR 0100(000A)] está flotando con un Globo Helio!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 풍선 때문에 떠 있다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は ふうせんで　{浮|う}いている！
[VAR PKNICK(0000)]’s Air Balloon popped!,"Le Ballon [VAR 1408(0000,0001)][VAR PKNICK(0000)] a éclaté !",Il Palloncino di [VAR PKNICK(0000)] è scoppiato!,Der Luftballon von [VAR PKNICK(0000)] ist geplatzt!,¡Ha explotado el Globo Helio de [VAR PKNICK(0000)]!,[VAR PKNICK(0000)]의 풍선이 터졌다!,[VAR PKNICK(0000)]の ふうせんが　{割|わ}れた！
The wild [VAR PKNICK(0000)]’s Air Balloon popped!,"Le Ballon [VAR 1002][VAR 1406(0000,0001)][VAR PKNICK(0000)] sauvage a éclaté !","Il Palloncino [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] selvatico è scoppiato!",Der Luftballon von [VAR PKNICK(0000)] (wild) ist geplatzt!,¡Ha explotado el Globo Helio del [VAR PKNICK(0000)] salvaje!,야생 [VAR PKNICK(0000)]의 풍선이 터졌다!,{野生|やせい}の　[VAR PKNICK(0000)]の ふうせんが　{割|わ}れた！
The opposing [VAR PKNICK(0000)]’s Air Balloon popped!,"Le Ballon [VAR 1002][VAR 1406(0000,0001)][VAR PKNICK(0000)] ennemi a éclaté !","Il Palloncino [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] avversario è scoppiato!",Der Luftballon von [VAR PKNICK(0000)] (Gegner) ist geplatzt!,¡Ha explotado el Globo Helio del [VAR PKNICK(0000)] enemigo!,상대 [VAR PKNICK(0000)]의 풍선이 터졌다!,{相手|あいて}の　[VAR PKNICK(0000)]の ふうせんが　{割|わ}れた！
The Air Balloon held by [VAR 0100(000A)]’s [VAR PKNICK(0000)]\r popped!,"Le Ballon [VAR 1408(0000,0001)][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] a éclaté !","Il Palloncino [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] è scoppiato!",Der Luftballon von [VAR PKNICK(0000)] von [VAR 0100(000A)] ist geplatzt!,¡Ha explotado el Globo Helio del [VAR PKNICK(0000)] de [VAR 0100(000A)]!,[VAR 0100(000A)]의 [VAR PKNICK(0000)]의 풍선이 터졌다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]の ふうせんが　{割|わ}れた！
[VAR PKNICK(0000)] is switched out with the Eject Button!,[VAR PKNICK(0000)] se retire grâce au Bouton Fuite !,[VAR PKNICK(0000)] viene sostituito grazie al Pulsantefuga!,[VAR PKNICK(0000)] kommt dank des Fluchtknopfes zurück!,¡[VAR PKNICK(0000)] regresa gracias al Botón Escape!,[VAR PKNICK(0000)][VAR 1900(0001)] 탈출버튼 때문에 돌아간다!,[VAR PKNICK(0000)]は だっしゅつボタンで　{戻|もど}っていく！
The wild [VAR PKNICK(0000)] is switched out with the Eject Button!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage se retire grâce au Bouton Fuite !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico viene sostituito grazie a un Pulsantefuga!",[VAR PKNICK(0000)] (wild) kommt dank des Fluchtknopfes zurück!,¡El [VAR PKNICK(0000)] salvaje regresa gracias al Botón Escape!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 탈출버튼 때문에 돌아간다!,{野生|やせい}の　[VAR PKNICK(0000)]は だっしゅつボタンで　{戻|もど}っていく！
The opposing [VAR PKNICK(0000)] is switched out with the Eject Button!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi se retire grâce au Bouton Fuite !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] avversario viene sostituito grazie a un Pulsantefuga!",[VAR PKNICK(0000)] (Gegner) kommt dank des Fluchtknopfes zurück!,¡El [VAR PKNICK(0000)] enemigo regresa gracias al Botón Escape!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 탈출버튼 때문에 돌아간다!,{相手|あいて}の　[VAR PKNICK(0000)]は だっしゅつボタンで　{戻|もど}っていく！
[VAR 0100(000A)]’s [VAR PKNICK(0000)] is switched out with the Eject Button!,"[VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] se retire grâce au Bouton Fuite !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] viene sostituito grazie a un Pulsantefuga!",[VAR PKNICK(0000)] von [VAR 0100(000A)] kommt dank des Fluchtknopfes zurück!,¡El [VAR PKNICK(0000)] de [VAR 0100(000A)] regresa gracias al Botón Escape!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 탈출버튼 때문에 돌아간다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は だっしゅつボタンで　{戻|もど}っていく！
[VAR PKNICK(0000)] held up its Red Card against [VAR PKNICK(0001)]!,[VAR PKNICK(0000)] a mis un Carton Rouge à [VAR PKNICK(0001)] !,"[VAR PKNICK(0000)] dà un Cartelrosso [VAR 150E(0001,0001)][VAR PKNICK(0001)]!",[VAR PKNICK(0000)] zeigt [VAR PKNICK(0001)] die Rote Karte!,¡[VAR PKNICK(0000)] le ha sacado una Tarjeta Roja a [VAR PKNICK(0001)]!,[VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 [VAR PKNICK(0001)]에게 꺼내 들었다!,[VAR PKNICK(0000)]は　レッドカードを [VAR PKNICK(0001)]に　たたきつけた！
[VAR PKNICK(0000)] held up its Red Card against the wild [VAR PKNICK(0001)]!,"[VAR PKNICK(0000)] a mis un Carton Rouge [VAR 1002][VAR 1404(0001,0001)][VAR PKNICK(0001)] sauvage !","[VAR PKNICK(0000)] dà un Cartelrosso [VAR 1002][VAR 1508(0001,0001)][VAR PKNICK(0001)] selvatico!",[VAR PKNICK(0000)] zeigt [VAR PKNICK(0001)] (wild) die Rote Karte!,¡[VAR PKNICK(0000)] le ha sacado una Tarjeta Roja al [VAR PKNICK(0001)] salvaje!,[VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 야생 [VAR PKNICK(0001)]에게 꺼내 들었다!,[VAR PKNICK(0000)]は　レッドカードを {野生|やせい}の　[VAR PKNICK(0001)]に　たたきつけた！
[VAR PKNICK(0000)] held up its Red Card against the opposing [VAR PKNICK(0001)]!,"[VAR PKNICK(0000)] a mis un Carton Rouge [VAR 1002][VAR 1404(0001,0001)][VAR PKNICK(0001)] ennemi !","[VAR PKNICK(0000)] dà un Cartelrosso [VAR 1002][VAR 1508(0001,0001)][VAR PKNICK(0001)] avversario!",[VAR PKNICK(0000)] zeigt [VAR PKNICK(0001)] (Gegner) die Rote Karte!,¡[VAR PKNICK(0000)] le ha sacado una Tarjeta Roja al [VAR PKNICK(0001)] enemigo!,[VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 상대 [VAR PKNICK(0001)]에게 꺼내 들었다!,[VAR PKNICK(0000)]は　レッドカードを {相手|あいて}の　[VAR PKNICK(0001)]に　たたきつけた！
[VAR PKNICK(0000)] held up its Red Card against [VAR 0100(000B)]’s [VAR PKNICK(0001)]!,"[VAR PKNICK(0000)] a mis un Carton Rouge à [VAR PKNICK(0001)] [VAR 1408(000B,0001)][VAR 0100(000B)] !","[VAR PKNICK(0000)] dà un Cartelrosso [VAR 1002][VAR 1508(0001,0001)][VAR PKNICK(0001)] di [VAR 0100(000B)]!",[VAR PKNICK(0000)] zeigt [VAR PKNICK(0001)] von [VAR 0100(000B)] die Rote Karte!,¡[VAR PKNICK(0000)] le ha sacado una Tarjeta Roja al [VAR PKNICK(0001)] de [VAR 0100(000B)]!,[VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 [VAR 0100(000B)]의 [VAR PKNICK(0001)]에게 꺼내 들었다!,[VAR PKNICK(0000)]は　レッドカードを [VAR 0100(000B)]の　[VAR PKNICK(0001)]に　たたきつけた！
The wild [VAR PKNICK(0000)] held up its Red Card against [VAR PKNICK(0001)]!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage a mis un Carton Rouge à [VAR PKNICK(0001)] !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico dà un Cartelrosso [VAR 150E(0001,0001)][VAR PKNICK(0001)]!",[VAR PKNICK(0000)] (wild) zeigt [VAR PKNICK(0001)] die Rote Karte!,¡El [VAR PKNICK(0000)] salvaje le ha sacado una Tarjeta Roja a [VAR PKNICK(0001)]!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 [VAR PKNICK(0001)]에게 꺼내 들었다!,{野生|やせい}の　[VAR PKNICK(0000)]は　レッドカードを [VAR PKNICK(0001)]に　たたきつけた！
The wild [VAR PKNICK(0000)] held up its Red Card against the wild [VAR PKNICK(0001)]!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage a mis un Carton Rouge [VAR 1002][VAR 1404(0001,0001)][VAR PKNICK(0001)] sauvage !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico dà un Cartelrosso [VAR 1002][VAR 1508(0001,0001)][VAR PKNICK(0001)] selvatico!",[VAR PKNICK(0000)] (wild) zeigt [VAR PKNICK(0001)] (wild) die Rote Karte!,¡El [VAR PKNICK(0000)] salvaje le ha sacado una Tarjeta Roja al [VAR PKNICK(0001)] salvaje!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 야생 [VAR PKNICK(0001)]에게 꺼내 들었다!,{野生|やせい}の　[VAR PKNICK(0000)]は　レッドカードを {野生|やせい}の　[VAR PKNICK(0001)]に　たたきつけた！
The opposing [VAR PKNICK(0000)] held up its Red Card against [VAR PKNICK(0001)]!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi a mis un Carton Rouge à [VAR PKNICK(0001)] !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] avversario dà un Cartelrosso [VAR 150E(0001,0001)][VAR PKNICK(0001)]!",[VAR PKNICK(0000)] (Gegner) zeigt [VAR PKNICK(0001)] die Rote Karte!,¡El [VAR PKNICK(0000)] enemigo le ha sacado una Tarjeta Roja a [VAR PKNICK(0001)]!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 [VAR PKNICK(0001)]에게 꺼내 들었다!,{相手|あいて}の　[VAR PKNICK(0000)]は　レッドカードを [VAR PKNICK(0001)]に　たたきつけた！
The opposing [VAR PKNICK(0000)] held up its Red Card against the opposing [VAR PKNICK(0001)]!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi a mis un Carton Rouge [VAR 1002][VAR 1404(0001,0001)][VAR PKNICK(0001)] ennemi !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] avversario dà un Cartelrosso [VAR 1002][VAR 1508(0001,0001)][VAR PKNICK(0001)] bersaglio!",[VAR PKNICK(0000)] (Gegner) zeigt [VAR PKNICK(0001)] (Gegner) die Rote Karte!,¡El [VAR PKNICK(0000)] enemigo le ha sacado una Tarjeta Roja al [VAR PKNICK(0001)] enemigo!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 상대 [VAR PKNICK(0001)]에게 꺼내 들었다!,{相手|あいて}の　[VAR PKNICK(0000)]は　レッドカードを {相手|あいて}の　[VAR PKNICK(0001)]に　たたきつけた！
[VAR 0100(000A)]’s [VAR PKNICK(0000)] held up its Red Card against [VAR PKNICK(0001)]!,"[VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] a mis un Carton Rouge à [VAR PKNICK(0001)] !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] dà un Cartelrosso [VAR 150E(0001,0001)][VAR PKNICK(0001)]!",[VAR PKNICK(0000)] von [VAR 0100(000A)] zeigt [VAR PKNICK(0001)] die Rote Karte!,¡El [VAR PKNICK(0000)] de [VAR 0100(000A)] le ha sacado una Tarjeta Roja a [VAR PKNICK(0001)]!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 [VAR PKNICK(0001)]에게 꺼내 들었다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は　レッドカードを [VAR PKNICK(0001)]に　たたきつけた！
[VAR 0100(000A)]’s [VAR PKNICK(0000)] held up its Red Card against [VAR 0100(000B)]’s [VAR PKNICK(0001)]!,"[VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] a mis un Carton Rouge à [VAR PKNICK(0001)] [VAR 1408(000B,0001)][VAR 0100(000B)] !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] dà un Cartelrosso [VAR 1002][VAR 1508(0001,0001)][VAR PKNICK(0001)] di [VAR 0100(000B)]!",[VAR PKNICK(0000)] von [VAR 0100(000A)] zeigt [VAR PKNICK(0001)] von [VAR 0100(000B)] die Rote Karte!,¡El [VAR PKNICK(0000)] de [VAR 0100(000A)] le ha sacado una Tarjeta Roja al [VAR PKNICK(0001)] de [VAR 0100(000B)]!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 레드카드를 [VAR 0100(000B)]의 [VAR PKNICK(0001)]에게 꺼내 들었다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は　レッドカードを [VAR 0100(000B)]の　[VAR PKNICK(0001)]に　たたきつけた！
[VAR PKNICK(0000)] was hurt by the Rocky Helmet!,[VAR PKNICK(0000)] est blessé par le Casque Brut !,[VAR PKNICK(0000)] è ferito da un Bitorzolelmo!,[VAR PKNICK(0000)] erleidet durch den Beulenhelm Schaden!,¡El Casco Dentado ha dañado a [VAR PKNICK(0000)]!,[VAR PKNICK(0000)][VAR 1900(0001)] 울퉁불퉁멧 때문에 데미지를 입었다!,[VAR PKNICK(0000)]は ゴツゴツメットで　ダメージを{受|う}けた！
The wild [VAR PKNICK(0000)] was hurt by the Rocky Helmet!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage est blessé par le Casque Brut !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico è ferito dal Bitorzolelmo!",[VAR PKNICK(0000)] (wild) erleidet durch den Beulenhelm Schaden!,¡El Casco Dentado ha dañado al [VAR PKNICK(0000)] salvaje!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 울퉁불퉁멧 때문에 데미지를 입었다!,{野生|やせい}の　[VAR PKNICK(0000)]は ゴツゴツメットで　ダメージを{受|う}けた！
The opposing [VAR PKNICK(0000)] was hurt by the Rocky Helmet!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi est blessé par le Casque Brut !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] avversario è ferito dal Bitorzolelmo!",[VAR PKNICK(0000)] (Gegner) erleidet durch den Beulenhelm Schaden!,¡El Casco Dentado ha dañado al [VAR PKNICK(0000)] enemigo!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 울퉁불퉁멧 때문에 데미지를 입었다!,{相手|あいて}の　[VAR PKNICK(0000)]は ゴツゴツメットで　ダメージを{受|う}けた！
[VAR 0100(000A)]’s [VAR PKNICK(0000)] was hurt by the Rocky Helmet!,"[VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] est blessé par le Casque Brut !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] è ferito dal Bitorzolelmo!",[VAR PKNICK(0000)] von [VAR 0100(000A)] erleidet durch den Beulenhelm Schaden!,¡El Casco Dentado ha dañado al [VAR PKNICK(0000)] de [VAR 0100(000A)]!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 울퉁불퉁멧 때문에 데미지를 입었다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は ゴツゴツメットで　ダメージを{受|う}けた！
The power of [VAR PKNICK(0000)]’s Fire-type moves rose!,[VAR PKNICK(0000)] augmente la puissance de ses capacités de type Feu !,La potenza delle mosse di tipo Fuoco di [VAR PKNICK(0000)] aumenta!,Die Stärke der Feuer-Attacken von [VAR PKNICK(0000)] wurde erhöht!,¡La potencia de los movimientos de tipo Fuego de [VAR PKNICK(0000)] ha aumentado!,[VAR PKNICK(0000)][VAR 1900(0001)] 불꽃의 위력이 올라갔다!,[VAR PKNICK(0000)]は ほのおの　{威力|いりょく}が　{上|あ}がった！
The power of the wild [VAR PKNICK(0000)]’s Fire-type moves rose!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage augmente la puissance de ses capacités de type Feu !","La potenza delle mosse di tipo Fuoco [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] selvatico aumenta!",Die Stärke der Feuer-Attacken von [VAR PKNICK(0000)] (wild) wurde erhöht!,¡La potencia de los movimientos de tipo Fuego del [VAR PKNICK(0000)] salvaje ha aumentado!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 불꽃의 위력이 올라갔다!,{野生|やせい}の　[VAR PKNICK(0000)]は ほのおの　{威力|いりょく}が　{上|あ}がった！
The power of the opposing [VAR PKNICK(0000)]’s Fire-type moves rose!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi augmente la puissance de ses capacités de type Feu !","La potenza delle mosse di tipo Fuoco [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] avversario aumenta!",Die Stärke der Feuer-Attacken von [VAR PKNICK(0000)] (Gegner) wurde erhöht!,¡La potencia de los movimientos de tipo Fuego del [VAR PKNICK(0000)] enemigo ha aumentado!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 불꽃의 위력이 올라갔다!,{相手|あいて}の　[VAR PKNICK(0000)]は ほのおの　{威力|いりょく}が　{上|あ}がった！
The power of the Fire-type moves known by [VAR 0100(000A)]’s\r [VAR PKNICK(0000)] rose!,"[VAR 1002][VAR PKNICK(0000)] [VAR 1408(000A,0001)][VAR 0100(000A)] augmente la puissance de ses capacités de type Feu !","La potenza delle mosse di tipo Fuoco [VAR 1002][VAR 1504(0000,0001)][VAR PKNICK(0000)] di [VAR 0100(000A)] aumenta!",Die Stärke der Feuer-Attacken von [VAR PKNICK(0000)] von [VAR 0100(000A)] wurde erhöht!,¡La potencia de los movimientos de tipo Fuego del [VAR PKNICK(0000)] de [VAR 0100(000A)] ha aumentado!,[VAR 0100(000A)]의 [VAR PKNICK(0000)][VAR 1900(0001)] 불꽃의 위력이 올라갔다!,[VAR 0100(000A)]の　[VAR PKNICK(0000)]は ほのおの　{威力|いりょく}が　{上|あ}がった！
[VAR PKNICK(0000)] was hurt!,[VAR PKNICK(0000)] s’est blessé en attaquant !,[VAR PKNICK(0000)] subisce dei danni!,[VAR PKNICK(0000)] wurde verletzt!,¡[VAR PKNICK(0000)] se ha herido!,[VAR PKNICK(0000)][VAR 1900(0001)] 상처를 입었다!,[VAR PKNICK(0000)]は {傷|きず}ついた！
The wild [VAR PKNICK(0000)] was hurt!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] sauvage s’est blessé en attaquant !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] selvatico subisce dei danni!",[VAR PKNICK(0000)] (wild) wurde verletzt!,¡El [VAR PKNICK(0000)] salvaje se ha herido!,야생 [VAR PKNICK(0000)][VAR 1900(0001)] 상처를 입었다!,{野生|やせい}の　[VAR PKNICK(0000)]は {傷|きず}ついた！
The opposing [VAR PKNICK(0000)] was hurt!,"[VAR 1002][VAR 1401(0000,0001)][VAR PKNICK(0000)] ennemi s’est blessé en attaquant !","[VAR 1002][VAR 1501(0000,0001)][VAR PKNICK(0000)] avversario subisce dei danni!",[VAR PKNICK(0000)] (Gegner) wurde verletzt!,¡El [VAR PKNICK(0000)] enemigo se ha herido!,상대 [VAR PKNICK(0000)][VAR 1900(0001)] 상처를 입었다!,{相手|あいて}の　[VAR PKNICK(0000)]は {傷|きず}ついた！
