en,fr,it,de,es,ko,kana
Contest Star Ribbon,Ruban Star des Concours,Fiocco Stella delle Gare,Band des Wettbewerbsstars,Cinta Estelar de Concursos,콘테스트스타리본,コンテストスターリボン
Coolness Master Ribbon,Ruban Maître Sang-froid,Fiocco Classe Suprema,Coolnessmeisterband,Cinta Estrella del Carisma,근사함마스터리본,かっこよさマスターリボン
Beauty Master Ribbon,Ruban Maître Beauté,Fiocco Bellezza Suprema,Schönheitsmeisterband,Cinta Estrella de la Belleza,아름다움마스터리본,うつくしさマスターリボン
Cuteness Master Ribbon,Ruban Maître Grâce,Fiocco Grazia Suprema,Putzigkeitsmeisterband,Cinta Estrella de la Dulzura,귀여움마스터리본,かわいさマスターリボン
Cleverness Master Ribbon,Ruban Maître Intelligence,Fiocco Acume Supremo,Klugheitsmeisterband,Cinta Estrella del Ingenio,슬기로움마스터리본,かしこさマスターリボン
Toughness Master Ribbon,Ruban Maître Robustesse,Fiocco Grinta Suprema,Stärkemeisterband,Cinta Estrella de la Dureza,강인함마스터리본,たくましさマスターリボン
Alola Champion Ribbon,Ruban Maître d’Alola,Fiocco Campione Alola,Band des Alola-Champs,Cinta de Campeón de Alola,알로라챔피언리본,アローラ　チャンプリボン
Battle Royal Master Ribbon,Ruban Champion Royal,Fiocco Asso Royale,Battle-Royale-Meisterband,Cinta Maestro Battle Royale,로열마스터리본,ロイヤルマスターリボン
Battle Tree Great Ribbon,Ruban Élite de l’Arbre,Fiocco Asso dell’Albero,Baum-Eliteband,Cinta As del Árbol,그레이트트리리본,グレートツリーリボン
Battle Tree Master Ribbon,Ruban Maître de l’Arbre,Fiocco Genio dell’Albero,Baum-Meisterband,Cinta Maestro del Árbol,마스터트리리본,マスターツリーリボン
Galar Champion Ribbon,Ruban Maître de Galar,Galar Champion Ribbon,Galar Champion Ribbon,Galar Champion Ribbon,Galar Champion Ribbon,Galar Champion Ribbon
Paldea Champion Ribbon,Ruban Maître de Paldea,Paldea Champion Ribbon,Paldea Champion Ribbon,Paldea Champion Ribbon,Paldea Champion Ribbon,Paldea Champion Ribbon
Cool Ribbon,Ruban Sang-Froid,Cool Ribbon,Cool Ribbon,Cool Ribbon,Cool Ribbon,Cool Ribbon
Cool Ribbon Super,Ruban Sang-Froid Super,Cool Ribbon Super,Cool Ribbon Super,Cool Ribbon Super,Cool Ribbon Super,Cool Ribbon Super
Cool Ribbon Hyper,Ruban Sang-Froid Hyper,Cool Ribbon Hyper,Cool Ribbon Hyper,Cool Ribbon Hyper,Cool Ribbon Hyper,Cool Ribbon Hyper
Cool Ribbon Master,Ruban Sang-Froid Master,Cool Ribbon Master,Cool Ribbon Master,Cool
Beauty Ribbon,Ruban Beauté,Beauty Ribbon,Beauty Ribbon,Beauty Ribbon,Beauty Ribbon,Beauty Ribbon
Beauty Ribbon Super,Ruban Beauté Super,Beauty Ribbon Super,Beauty Ribbon Super,Beauty Ribbon Super,Beauty Ribbon Super,Beauty Ribbon Super
Beauty Ribbon Hyper,Ruban Beauté Hyper,Beauty Ribbon Hyper,Beauty Ribbon Hyper,Beauty Ribbon Hyper,Beauty Ribbon Hyper,Beauty Ribbon Hyper
Beauty Ribbon Master,Ruban Beauté Master,Beauty Ribbon Master,Beauty Ribbon Master,Beauty Ribbon Master,Beauty Ribbon Master,Beauty Ribbon Master
Cute Ribbon,Ruban Grâce,Cute Ribbon,Cute Ribbon,Cute Ribbon,Cute Ribbon,Cute Ribbon
Cute Ribbon Super,Ruban Grâce Super,Cute Ribbon Super,Cute Ribbon Super,Cute Ribbon Super,Cute Ribbon Super,Cute Ribbon Super
Cute Ribbon Hyper,Ruban Grâce Hyper,Cute Ribbon Hyper,Cute Ribbon Hyper,Cute Ribbon Hyper,Cute Ribbon Hyper,Cute Ribbon Hyper
Cute Ribbon Master,Ruban Grâce Master,Cute Ribbon Master,Cute Ribbon Master,Cute Ribbon Master,Cute Ribbon Master,Cute Ribbon Master
Smart Ribbon,Ruban Intelligence,Smart Ribbon,Smart Ribbon,Smart Ribbon,Smart Ribbon,Smart Ribbon
Smart Ribbon Super,Ruban Intelligence Super,Smart Ribbon Super,Smart Ribbon Super,Smart Ribbon Super,Smart Ribbon Super,Smart Ribbon Super
Smart Ribbon Hyper,Ruban Intelligence Hyper,Smart Ribbon Hyper,Smart Ribbon Hyper,Smart Ribbon Hyper,Smart Ribbon Hyper,Smart Ribbon Hyper
Smart Ribbon Master,Ruban Intelligence Master,Smart Ribbon Master,Smart Ribbon Master,Smart Ribbon Master,Smart Ribbon Master,Smart Ribbon Master
Tough Ribbon,Ruban Robustesse,Tough Ribbon,Tough Ribbon,Tough Ribbon,Tough Ribbon,Tough Ribbon
Tough Ribbon Super,Ruban Robustesse Super,Tough Ribbon Super,Tough Ribbon Super,Tough Ribbon Super,Tough Ribbon Super,Tough Ribbon Super
Tough Ribbon Hyper,Ruban Robustesse Hyper,Tough Ribbon Hyper,Tough Ribbon Hyper,Tough Ribbon Hyper,Tough Ribbon Hyper,Tough Ribbon Hyper
Tough Ribbon Master,Ruban Robustesse Master,Tough Ribbon Master,Tough Ribbon Master,Tough Ribbon Master,Tough
Cool Ribbon,Ruban Sang-Froid,Cool Ribbon,Cool Ribbon,Cool Ribbon,Cool Ribbon,Cool Ribbon
Cool Ribbon Great,Ruban Sang-Froid Méga,Cool Ribbon Great,Cool Ribbon Great,Cool Ribbon Great,Cool Ribbon Great,Cool Ribbon Great
Cool Ribbon Ultra,Ruban Sang-Froid Ultra,Cool Ribbon Ultra,Cool Ribbon Ultra,Cool Ribbon Ultra,Cool Ribbon Ultra,Cool Ribbon Ultra
Cool Ribbon Master,Ruban Sang-Froid Master,Cool Ribbon Master,Cool Ribbon Master,Cool Ribbon Master,Cool Ribbon Master,Cool Ribbon Master
Beauty Ribbon,Ruban Beauté,Beauty Ribbon,Beauty Ribbon,Beauty Ribbon,Beauty Ribbon,Beauty Ribbon
Beauty Ribbon Great,Ruban Beauté Méga,Beauty Ribbon Great,Beauty Ribbon Great,Beauty Ribbon Great,Beauty Ribbon Great,Beauty Ribbon Great
Beauty Ribbon Ultra,Ruban Beauté Ultra,Beauty Ribbon Ultra,Beauty Ribbon Ultra,Beauty Ribbon Ultra,Beauty Ribbon Ultra,Beauty Ribbon Ultra
Beauty Ribbon Master,Ruban Beauté Master,Beauty Ribbon Master,Beauty Ribbon Master,Beauty Ribbon Master,Beauty Ribbon Master,Beauty Ribbon Master
Cute Ribbon,Ruban Grâce,Cute Ribbon,Cute Ribbon,Cute Ribbon,Cute Ribbon,Cute Ribbon
Cute Ribbon Great,Ruban Grâce Méga,Cute Ribbon Great,Cute Ribbon Great,Cute Ribbon Great,Cute Ribbon Great,Cute Ribbon Great
Cute Ribbon Ultra,Ruban Grâce Ultra,Cute Ribbon Ultra,Cute Ribbon Ultra,Cute Ribbon Ultra,Cute Ribbon Ultra,Cute Ribbon Ultra
Cute Ribbon Master,Ruban Grâce Master,Cute Ribbon Master,Cute Ribbon Master,Cute Ribbon Master,Cute Ribbon Master,Cute Ribbon Master
Smart Ribbon,Ruban Intelligence,Smart Ribbon,Smart Ribbon,Smart Ribbon,Smart Ribbon,Smart Ribbon
Smart Ribbon Great,Ruban Intelligence Méga,Smart Ribbon Great,Smart Ribbon Great,Smart Ribbon Great,Smart Ribbon Great,Smart Ribbon Great
Smart Ribbon Ultra,Ruban Intelligence Ultra,Smart Ribbon Ultra,Smart Ribbon Ultra,Smart Ribbon Ultra,Smart Ribbon Ultra,Smart Ribbon Ultra
Smart Ribbon Master,Ruban Intelligence Master,Smart Ribbon Master,Smart Ribbon Master,Smart Ribbon Master,Smart Ribbon Master,Smart Ribbon Master
Tough Ribbon,Ruban Robustesse,Tough Ribbon,Tough Ribbon,Tough Ribbon,Tough Ribbon,Tough Ribbon
Tough Ribbon Great,Ruban Robustesse Méga,Tough Ribbon Great,Tough Ribbon Great,Tough Ribbon Great,Tough Ribbon Great,Tough Ribbon Great
Tough Ribbon Ultra,Ruban Robustesse Ultra,Tough Ribbon Ultra,Tough Ribbon Ultra,Tough Ribbon Ultra,Tough Ribbon Ultra,Tough Ribbon Ultra
Tough Ribbon Master,Ruban Robustesse Master,Tough Ribbon Master,Tough Ribbon Master,Tough Ribbon Master,Tough Ribbon Master,Tough Ribbon Master
Twinkling Star Ribbon,Ruban Étoile Brillante,Twinkling Star Ribbon,Twinkling Star Ribbon,Twinkling Star Ribbon,Twinkling Star Ribbon,Twinkling Star Ribbon
Contest Memory Ribbon,Ruban Souvenir Concours,Fiocco Ricordo delle Gare,Wettbewerbsgedenkband,Cinta Recuerdo de Concurso,추억콘테스트리본,おもいでコンテストリボン
Winning Ribbon,Ruban Gagnant,Winning Ribbon,Winning Ribbon,Winning Ribbon,Winning Ribbon,Winning Ribbon
Victory Ribbon,Ruban Victoire,Victory Ribbon,Victory Ribbon,Victory Ribbon,Victory Ribbon,Victory Ribbon
Ability Ribbon,Ruban Aptitude,Ability Ribbon,Ability Ribbon,Ability Ribbon,Ability
Great Ability Ribbon,Ruban Aptitude Méga,Great Ability Ribbon,Great Ability Ribbon,Great Ability Ribbon,Great Ability Ribbon,Great Ability Ribbon
Double Ability Ribbon,Ruban Aptitude Duo,Double Ability Ribbon,Double Ability Ribbon,Double Ability Ribbon,Double Ability Ribbon,Double Ability Ribbon
Multi Ability Ribbon,Ruban Aptitude Multi,Multi Ability Ribbon,Multi Ability Ribbon,Multi Ability Ribbon,Multi Ability Ribbon,Multi Ability Ribbon
Pair Ability Ribbon,Ruban Aptitude Paire,Pair Ability Ribbon,Pair Ability Ribbon,Pair Ability Ribbon,Pair Ability Ribbon,Pair Ability Ribbon
World Ability Ribbon,Ruban Aptitude Monde,World Ability Ribbon,World Ability Ribbon,World Ability Ribbon,World Ability Ribbon,World Ability Ribbonon
Tower Master Ribbon,Ruban Maître de la Tour,Tower Master Ribbon,Tower Master Ribbon,Tower Master Ribbon,Tower Master Ribbon,Tower Master Ribbon
Battle Memory Ribbon,Ruban Souvenir Combat,Fiocco Ricordo delle Lotte,Kampfgedenkband,Cinta Recuerdo de Combate,추억배틀리본,おもいでバトルリボン
